emm_types  a.emm_227_1-50 b.emm_227_1-50 c.emm_227_1-50 d.emm_227_1-50 e.emm_227_1-50 f.emm_227_1-50 g.emm_227_1-50  a.emm_232_1-50 b.emm_232_1-50 c.emm_232_1-50 d.emm_232_1-50 e.emm_232_1-50 f.emm_232_1-50 g.emm_232_1-50  a.emm_238_1-50 b.emm_238_1-50 c.emm_238_1-50 d.emm_238_1-50 e.emm_238_1-50 f.emm_238_1-50 g.emm_238_1-50  a.emm_239_1-50 b.emm_239_1-50 c.emm_239_1-50 d.emm_239_1-50 e.emm_239_1-50 f.emm_239_1-50 g.emm_239_1-50
emm227  100.0 100.0 100.0 100.0 100.0 100.0 100.0  10.0 28.6 25.0 20.0 11.1 12.5 14.3  30.0 25.0 20.0 20.0 20.0 11.1 27.3  50.0 25.0 25.0 37.5 37.5 33.3 42.9
emm232  10.0 28.6 25.0 20.0 11.1 12.5 14.3  100.0 100.0 100.0 100.0 100.0 100.0 100.0  28.6 28.6 25.0 25.0 11.1 9.1 10.0  25.0 12.5 14.3 0.0 0.0 12.5 10.0
emm238  30.0 25.0 20.0 37.5 20.0 11.1 27.3  28.6 28.6 25.0 25.0 7.7 9.1 10.0  100.0 100.0 100.0 100.0 100.0 100.0 100.0  50.0 28.6 25.0 42.9 33.3 0.0 12.5
emm239  50.0 25.0 25.0 37.5 37.5 33.3 42.9  25.0 12.5 14.3 0.0 0.0 12.5 10.0  50.0 28.6 25.0 42.9 33.3 0.0 12.5  100.0 100.0 100.0 100.0 100.0 100.0 100.0
