emm_types	a.emm_232_1-50	b.emm_232_1-50	c.emm_232_1-50	d.emm_232_1-50	e.emm_232_1-50	f.emm_232_1-50	g.emm_232_1-50
emm227  10.0   28.6   25.0   20.0   11.1   12.5   14.3
emm232  100.0  100.0  100.0  100.0  100.0  100.0  100.0
emm238  28.6   28.6   25.0   25.0    7.7    9.1   10.0
emm239  25.0   12.5   14.3    0.0    0.0   12.5   10.0
